Site Name,Country,Region,Category,Year Inscribed,Is Endangered,Longitude,Latitude,Area (ha),UNESCO Criteria,Endangered Status (Year),Year Listed Endangered,Delisting Year,Site ID
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,Asia and the Pacific,Cultural,2003,Endangered,67.82525,34.84694,158.9265,(i)(ii)(iii)(iv)(vi),Y 2003,2003,,208
Minaret and Archaeological Remains of Jam,Afghanistan,Asia and the Pacific,Cultural,2002,Endangered,64.51588889,34.39641667,70,(ii)(iii)(iv),Y 2002,2002,,211
Historic Centres of Berat and Gjirokastra ,Albania,Europe and North America,Cultural,2005,Not Endangered,20.13333333,40.06944444,58.9,(iii)(iv),,,,569
Butrint,Albania,Europe and North America,Cultural,1992,Not Endangered,20.02611111,39.75111111,0,(iii),P 1997-2005,1997,2005,570
Al Qal'a of Beni Hammad,Algeria,Arab States,Cultural,1980,Not Endangered,4.78684,35.81844,150,(iii),,,,102
Tassili n'Ajjer,Algeria,Arab States,Mixed,1982,Not Endangered,9,25.5,7200000,(i)(iii)(vii)(viii),,,,179
M'Zab Valley,Algeria,Arab States,Cultural,1982,Not Endangered,3.68333,32.48333,665.03,(ii)(iii)(v),,,,188
Djémila,Algeria,Arab States,Cultural,1982,Not Endangered,5.73667,36.32056,30.6,(iii)(iv),,,,191
Tipasa,Algeria,Arab States,Cultural,1982,Not Endangered,2.383333333,36.55,52.16,(iii)(iv),P 2002-2006,2002,2006,193
Timgad,Algeria,Arab States,Cultural,1982,Not Endangered,6.468861111,35.48416667,90.54,(ii)(iii)(iv),,,,194
Kasbah of Algiers,Algeria,Arab States,Cultural,1992,Not Endangered,3.06028,36.78333,54.7,(ii)(v),,,,565
Madriu-Perafita-Claror Valley,Andorra,Europe and North America,Cultural,2004,Not Endangered,1.595555556,42.49472222,4247,(v),,,,1160
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Angola,Africa,Cultural,2017,Not Endangered,14.24972222,-6.268888889,89.29,(iii)(iv),,,,1511
Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,Latin America and the Caribbean,Cultural,2016,Not Endangered,-61.76166667,17.00694444,255,(ii)(iv),,,,1499
Los Glaciares National Park,Argentina,Latin America and the Caribbean,Natural,1981,Not Endangered,-73.24944,-50,726927,(vii)(viii),,,,145
Iguazu National Park,Argentina,Latin America and the Caribbean,Natural,1984,Not Endangered,-54.13333333,-25.51805556,55000,(vii)(x),,,,303
"Cueva de las Manos, Río Pinturas",Argentina,Latin America and the Caribbean,Cultural,1999,Not Endangered,-70.66666667,-47.15,600,(iii),,,,936
Península Valdés,Argentina,Latin America and the Caribbean,Natural,1999,Not Endangered,-64,-42.5,360000,(x),,,,937
Ischigualasto / Talampaya Natural Parks,Argentina,Latin America and the Caribbean,Natural,2000,Not Endangered,-68,-30,275369,(viii),,,,966
Jesuit Block and Estancias of Córdoba,Argentina,Latin America and the Caribbean,Cultural,2000,Not Endangered,-64.19111,-31.42056,38.12,(ii)(iv),,,,995
Quebrada de Humahuaca,Argentina,Latin America and the Caribbean,Cultural,2003,Not Endangered,-65.34886111,-23.19986111,172116.4375,(ii)(iv)(v),,,,1116
Los Alerces National Park,Argentina,Latin America and the Caribbean,Natural,2017,Not Endangered,-71.8728,-42.8528,188379,(vii)(x),,,,1526
Monasteries of Haghpat and Sanahin,Armenia,Europe and North America,Cultural,1996,Not Endangered,44.71028,41.095,2.65,(ii)(iv),,,,777
Monastery of Geghard and the Upper Azat Valley,Armenia,Europe and North America,Cultural,2000,Not Endangered,44.79667,40.15889,2.7,(ii),,,,960
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,Europe and North America,Cultural,2000,Not Endangered,44.29514,40.15931,74.3,(ii)(iii),,,,1011
Kakadu National Park,Australia,Asia and the Pacific,Mixed,1981,Not Endangered,132.8333333,-12.83333333,1980994.92,(i)(vi)(vii)(ix)(x),,,,147
Great Barrier Reef,Australia,Asia and the Pacific,Natural,1981,Not Endangered,147.7,-18.28611111,34870000,(vii)(viii)(ix)(x),,,,154
Sydney Opera House,Australia,Asia and the Pacific,Cultural,2007,Not Endangered,151.2152778,-33.85666667,5.8,(i),,,,166
Willandra Lakes Region,Australia,Asia and the Pacific,Mixed,1981,Not Endangered,143,-34,240000,(iii)(viii),,,,167
Tasmanian Wilderness,Australia,Asia and the Pacific,Mixed,1982,Not Endangered,145.4166667,-41.58333333,1584233,(iii)(iv)(vi)(vii)(viii)(ix)(x),,,,181
Lord Howe Island Group,Australia,Asia and the Pacific,Natural,1982,Not Endangered,159.0883333,-31.56555556,146300,(vii)(x),,,,186
Gondwana Rainforests of Australia,Australia,Asia and the Pacific,Natural,1986,Not Endangered,150.05,-28.25,370000,(viii)(ix)(x),,,,368
